urn,fz3,fz2
100000,False,False
100005,False,False
100006,False,False
100007,False,False
100008,False,False
100009,False,False
100010,False,False
100011,False,False
100013,False,False
100014,False,False
100015,False,False
100018,False,False
100019,False,False
100020,False,False
100021,False,False
100022,False,False
100023,False,False
100025,False,False
100026,False,False
100027,False,False
100028,False,False
100029,False,False
100030,False,False
100031,False,False
100032,False,False
100033,False,False
100034,False,False
100035,False,False
100036,False,False
100040,False,False
100041,False,False
100042,False,False
100043,False,False
100045,False,False
100046,False,False
100047,False,False
100048,False,False
100049,False,False
100050,False,False
100051,False,False
100052,False,False
100053,False,False
100054,False,False
100055,False,False
100056,False,False
100059,False,False
100060,False,False
100091,False,False
100092,False,False
100094,False,False
100096,False,False
100097,False,True
100098,False,False
100099,False,False
100102,True,False
100103,False,False
100114,False,False
100115,False,False
100120,False,False
100125,False,False
100126,False,False
100127,False,False
100129,False,False
100131,False,False
100134,False,False
100137,True,False
100140,False,False
100141,False,False
100142,False,False
100146,False,False
100149,False,False
100152,True,False
100155,False,False
100158,True,False
100159,True,False
100162,False,False
100163,False,False
100164,False,False
100165,True,False
100166,False,False
100167,False,False
100168,False,False
100169,True,False
100170,False,False
100171,False,False
100173,False,False
100174,True,False
100175,False,False
100176,False,False
100177,True,False
100180,True,False
100181,True,False
100182,False,False
100183,False,False
100190,False,False
100193,False,False
100204,False,False
100212,False,False
100213,False,False
100218,False,False
100223,False,False
100225,True,False
100229,False,False
100230,False,False
100231,False,False
100232,False,False
100234,False,False
100235,False,False
100239,False,False
100240,False,False
100241,False,False
100242,False,False
100243,False,False
100244,False,False
100245,False,False
100248,False,False
100250,False,False
100251,False,False
100252,False,False
100253,False,False
100254,False,False
100256,False,False
100257,False,False
100258,False,False
100259,False,False
100260,False,False
100261,False,True
100263,False,False
100264,False,False
100266,False,False
100267,False,False
100269,False,False
100270,False,False
100271,False,False
100274,False,False
100275,False,False
100279,False,False
100282,False,False
100284,False,False
100307,False,False
100311,False,False
100312,False,False
100315,False,False
100316,True,False
100317,True,False
100318,True,False
100321,True,False
100322,True,False
100324,True,False
100326,False,True
100328,True,False
100331,False,False
100334,True,False
100335,False,False
100338,False,True
100340,True,False
100341,False,False
100344,True,False
100345,True,False
100346,True,False
100349,True,False
100350,True,False
100351,True,False
100352,True,False
100353,False,False
100354,True,False
100357,False,True
100379,False,False
100381,False,False
100382,False,False
100384,False,False
100385,False,False
100386,False,False
