urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
100001,29.4,,1.51,0.0
100003,36.8,,2.1,97.0
100049,41.7,-0.28,3.7,43.0
100050,59.1,0.61,5.34,67.0
100051,43.8,-0.06,3.91,40.0
100052,44.6,-0.03,3.92,43.0
100053,50.3,-0.16,4.62,57.0
100054,65.8,0.77,6.25,77.0
100055,40.5,-0.33,3.59,38.0
100056,49.5,-0.26,4.78,57.0
100059,49.6,0.06,4.41,49.0
100062,54.8,,5.84,0.0
100065,18.7,,1.27,0.0
100074,62.8,,5.73,84.0
100076,47.5,,3.29,0.0
100084,45.6,,2.43,38.0
100092,0.5,-2.22,0.01,0.0
100096,,,,
100171,48.0,0.08,3.93,51.0
100182,55.3,0.52,5.05,65.0
100183,38.0,-0.69,3.02,32.0
100190,46.9,-0.32,4.16,45.0
100193,57.3,0.6,5.31,70.0
100200,13.4,,1.09,5.0
100202,43.5,,4.46,0.0
100204,15.5,-1.34,0.48,0.0
100277,50.9,0.17,4.84,55.0
100279,48.2,-0.19,4.17,46.0
100282,49.1,0.31,4.54,48.0
100284,44.3,0.09,3.83,37.0
100285,45.5,0.06,4.17,44.0
100287,12.4,,0.6,0.0
100291,,,,
100293,10.2,,0.82,28.0
100294,,,,
100295,30.8,,2.43,49.0
100300,68.5,,6.42,92.0
100307,1.7,-1.54,0.0,0.0
100311,,,,
100312,,,,
100366,22.8,,2.18,0.0
100369,38.8,,1.79,0.0
100370,14.3,,0.79,0.0
100379,9.2,-0.91,0.32,0.0
100381,,,,
100382,,,,
100453,34.8,-0.78,2.78,26.0
100455,57.1,0.82,5.29,65.0
100457,51.6,0.07,4.23,53.0
100458,57.2,0.55,5.28,60.0
100459,50.6,0.16,4.73,53.0
100467,,,,
100469,,,,
100502,51.0,0.28,4.47,59.0
100503,49.0,0.12,4.17,46.0
100511,15.4,,0.89,0.0
100521,44.0,,3.68,0.0
100527,39.0,,2.62,0.0
100528,59.7,,4.39,82.0
100529,14.8,,1.48,0.0
100533,54.8,,4.72,83.0
100536,19.1,,1.15,0.0
100537,31.3,,2.13,59.0
100539,19.4,,1.04,37.0
100540,9.6,,0.64,2.0
100541,45.7,,2.66,42.0
100544,6.8,,0.56,4.0
100547,6.3,,0.47,0.0
100590,48.6,0.35,4.41,49.0
100624,49.0,0.03,4.07,42.0
100625,49.9,0.13,4.38,50.0
100627,42.4,-0.35,3.75,36.0
100637,50.3,0.41,4.31,59.0
100638,57.7,0.77,5.27,67.0
100642,42.5,0.11,3.88,41.0
100643,,,,
100648,33.9,,3.01,0.0
100654,0.6,-1.61,0.0,0.0
100659,2.5,-1.8,0.29,0.0
100740,43.4,-0.16,3.8,41.0
100741,51.6,-0.02,4.81,53.0
100742,37.0,-0.47,3.23,36.0
100745,49.3,0.25,4.29,54.0
100747,37.0,-0.5,3.49,30.0
100748,36.8,-0.44,2.93,23.0
100749,50.1,0.48,4.62,51.0
100750,60.7,0.59,5.6,67.0
100752,52.2,0.34,4.52,51.0
100754,12.3,,0.47,0.0
100756,53.2,,5.2,0.0
100757,54.1,,5.13,0.0
100760,2.2,-1.41,0.09,0.0
100763,2.3,-1.67,0.19,0.0
100765,,,,
100849,55.5,0.74,4.68,60.0
100857,63.7,1.24,5.87,78.0
100859,46.6,0.32,4.27,38.0
100861,16.0,,1.2,0.0
100863,66.6,,6.45,0.0
100864,65.1,,5.92,0.0
100872,,,,
100880,,,,
100965,47.7,-0.12,4.15,50.0
100966,49.2,-0.13,4.4,46.0
100967,50.2,0.3,3.96,48.0
100972,49.0,0.2,4.34,55.0
100973,58.7,1.27,5.32,74.0
100974,45.5,0.01,4.19,50.0
100975,54.6,0.67,4.79,63.0
100977,57.7,0.74,5.36,70.0
100978,50.9,0.01,4.32,50.0
100982,55.4,,5.29,63.0
100986,13.7,,0.32,0.0
100987,,,,
100989,,,,
101053,47.7,0.25,4.58,56.0
101064,42.4,,2.44,0.0
101071,40.0,,3.04,0.0
101072,22.3,,1.56,0.0
101086,24.4,,2.28,25.0
101090,55.6,,5.44,69.0
