urn,name,fsm_pct,eal_pct,girls_pct,boys_pct,class_size_avg,pupils_on_roll,year
100000,The Aldgate School,22.7,58.1,46.7,53.3,26.0,229,2026
100001,City of London School for Girls,,,100.0,0.0,,794,2026
100002,St Paul's Cathedral School,,,44.3,55.7,,280,2026
100003,City of London School,,,0.0,100.0,,1040,2026
100005,Thomas Coram Centre,29.5,26.7,38.1,61.9,,105,2026
100006,Heath School,81.8,24.2,36.4,63.6,,33,2026
100007,Camden Primary Pupil Referral Unit,85.0,30.0,15.0,85.0,,20,2026
100008,Argyle Primary School,68.8,78.4,50.9,49.1,24.5,269,2026
100009,West Hampstead Primary School,46.2,47.6,49.5,50.5,28.4,424,2026
100010,Brecknock Primary School,67.7,58.9,53.5,46.5,27.9,282,2026
100011,Brookfield Primary School,38.4,18.8,48.4,51.6,24.2,372,2026
100013,Edith Neville Primary School,52.6,80.1,49.3,50.7,27.0,211,2026
100014,Fleet Primary School,54.6,38.0,47.2,52.8,27.0,216,2026
100015,Hawley Primary School,54.1,60.9,46.8,53.2,27.3,220,2026
100018,Netley Primary School,60.3,61.9,46.0,54.0,17.3,383,2026
100019,New End Primary School,20.7,72.5,52.2,47.8,24.6,295,2026
100020,Primrose Hill School,37.4,47.8,50.5,49.5,24.1,414,2026
100021,Rhyl Community Primary School,65.3,74.9,51.7,48.3,23.1,375,2026
100022,Richard Cobden Primary School,59.4,89.7,47.2,52.8,27.1,379,2026
100023,Torriano Primary School,40.2,45.3,50.7,49.3,29.5,450,2026
100025,Gospel Oak Primary School,37.1,43.0,45.8,54.2,28.1,421,2026
100026,Fitzjohn's Primary School,13.2,56.1,50.4,49.6,28.5,228,2026
100027,Eleanor Palmer Primary School,22.3,44.2,46.8,53.2,29.1,233,2026
100028,"Christ Church Primary School, Hampstead",1.0,55.7,51.0,49.0,27.7,194,2026
100029,Christ Church School,53.8,59.6,47.4,52.6,22.5,171,2026
100030,Emmanuel Church of England Primary School,15.9,32.6,47.6,52.4,29.1,233,2026
100031,Hampstead Parochial Church of England Primary School,7.2,53.8,49.5,50.5,29.7,208,2026
100032,"Holy Trinity CofE Primary School, NW3",40.9,62.9,52.8,47.2,22.9,159,2026
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",39.0,27.5,50.0,50.0,28.8,200,2026
100034,Kentish Town Church of England Primary School,42.9,44.2,45.5,54.5,28.0,224,2026
100035,Rosary Catholic Primary School,46.6,49.1,52.3,47.7,19.0,279,2026
100036,St Alban's Church of England Primary School,65.4,59.3,56.8,43.2,10.1,81,2026
100040,St George the Martyr Church of England Primary School,41.6,43.7,54.7,45.3,23.8,190,2026
100041,St Josephs Catholic Primary School,54.1,43.6,48.9,51.1,16.6,133,2026
100042,St Mary's Kilburn Church of England Primary School,67.3,63.6,49.3,50.7,27.1,217,2026
100043,St Mary and St Pancras Church of England Primary School,71.9,29.2,60.1,39.9,22.3,178,2026
100045,St Patrick's Catholic Primary School,67.5,48.2,51.8,48.2,13.9,114,2026
100046,St Paul's Church of England Primary School,38.5,35.1,46.6,53.4,24.9,174,2026
100047,St Eugene de Mazenod Roman Catholic Primary School,42.9,59.6,51.7,48.3,29.0,203,2026
100048,Our Lady Roman Catholic Primary School,64.5,31.0,55.0,45.0,24.9,200,2026
100049,Haverstock School,73.1,48.7,43.7,56.3,21.3,878,2026
100050,Parliament Hill School,34.8,30.9,93.2,6.8,20.4,1191,2026
100051,Regent High School,71.5,40.7,41.1,58.9,16.2,1050,2026
100052,Hampstead School,47.3,33.5,47.8,52.2,26.5,1191,2026
100053,Acland Burghley School,34.0,19.2,35.9,64.1,20.8,1252,2026
100054,The Camden School for Girls,21.2,16.6,84.3,15.7,21.1,1108,2026
100055,Maria Fidelis Catholic School FCJ,60.4,43.9,48.1,51.9,16.6,738,2026
100056,William Ellis School,51.6,31.1,15.3,84.7,20.0,771,2026
100059,La Sainte Union Catholic Secondary School,34.5,44.0,91.3,8.7,18.2,550,2026
100060,Children's Hospital School at Gt Ormond Street and UCH,0.0,,,,,0,2026
100061,St Christopher's School,,,100.0,0.0,,253,2026
100062,St Margaret's School,,,100.0,0.0,,152,2026
100063,Sarum Hall School,,,100.0,0.0,,184,2026
100064,The Hall School,,,0.0,100.0,,463,2026
100065,University College School,,,8.7,91.3,,1297,2026
100066,The Cavendish School,,,100.0,0.0,,194,2026
100067,"St Mary's School, Hampstead",,,100.0,0.0,,194,2026
100068,North Bridge House Nursery & Pre-Prep Schools,,,45.7,54.3,,138,2026
100069,Hereward House School,,,0.0,100.0,,156,2026
100070,St Anthony's School for Boys,,,4.3,95.7,,256,2026
100073,Hampstead Hill School,,,47.1,52.9,,359,2026
100074,North Bridge House Senior School,,,26.6,73.4,,365,2026
100075,Trevor-Roberts School,,,46.2,53.8,,160,2026
100076,South Hampstead High School GDST,,,100.0,0.0,,961,2026
100078,Heathside Preparatory School,,,30.4,69.6,,79,2026
100080,Devonshire House Preparatory School,,,38.4,61.6,,430,2026
100081,Broadhurst School,,,49.4,50.6,,77,2026
100082,College Francais Bilingue De Londres,,,47.5,52.5,,684,2026
100084,Fine Arts College,,,70.1,29.9,,187,2026
100087,The Mulberry House School,,,48.3,51.7,,172,2026
100090,Southbank International School Hampstead,,,45.9,54.1,,133,2026
100091,Frank Barnes School for Deaf Children,47.5,100.0,55.0,45.0,,40,2026
100092,Harmood School,72.2,16.7,30.6,69.4,,36,2026
100094,Royal Free Hospital Children's School,29.2,,66.7,33.3,,48,2026
100096,Swiss Cottage School - Development & Research Centre,62.5,46.6,27.7,72.3,,264,2026
100097,Rachel McMillan Nursery School and Children's Centre,18.7,22.0,48.0,52.0,,123,2026
100098,Pound Park Nursery School,21.9,34.3,48.2,51.8,,137,2026
100099,Abbey Wood Nursery School,19.1,51.3,49.6,50.4,,115,2026
100102,Robert Owen Nursery School,17.0,31.9,47.4,52.6,,135,2026
100103,Newhaven Pupil Referral Unit,43.5,3.4,41.1,58.9,,207,2026
100114,Morden Mount Primary School,34.2,58.2,46.2,53.8,23.2,383,2026
100115,Cherry Orchard Primary School,44.3,46.0,41.4,58.6,24.2,174,2026
100120,Ealdham Primary School,40.4,35.6,50.5,49.5,28.0,455,2026
100125,Fossdene Primary School,40.8,33.5,47.6,52.4,18.7,206,2026
100127,Gordon Primary School,14.4,27.6,51.3,48.7,27.1,439,2026
100129,Haimo Primary School,38.5,32.8,44.4,55.6,23.1,351,2026
100131,Henwick Primary School,33.4,32.8,50.0,50.0,25.5,332,2026
100134,Invicta Primary School,28.3,27.9,53.5,46.5,25.3,714,2026
