urn,name,la,phase,intake_year,pan,applications,offers,oversubscribed,last_distance_m,criterion_met,source_url
145515,Bathwick St Mary Church School,Bath and North East Somerset,Primary,2025,30,,,True,536,Category 6,https://web.archive.org/web/20250420041258id_/https://www.bathnes.gov.uk/policy-and-documents-library/bathwick-st-marys-church-school-allocation-statement-and-appeal
138617,Chew Stoke Church School,Bath and North East Somerset,Primary,2025,28,,,True,4424,Category 1,https://web.archive.org/web/20250420041258id_/https://www.bathnes.gov.uk/policy-and-documents-library/chew-stoke-church-school-allocation-statement-and-appeal
142943,Combe Down CofE Primary School,Bath and North East Somerset,Primary,2025,60,,,True,1109,Category 1,https://web.archive.org/web/20250420041258id_/https://www.bathnes.gov.uk/policy-and-documents-library/combe-down-primary-allocation-statement-and-appeal
146787,East Harptree Church of England Primary School,Bath and North East Somerset,Primary,2025,15,,,True,3063,,https://web.archive.org/web/20250420041258id_/https://www.bathnes.gov.uk/policy-and-documents-library/east-harptree-primary-allocation-statement-and-appeal
145070,Farmborough Church Primary School,Bath and North East Somerset,Primary,2025,25,,,True,2815,,https://web.archive.org/web/20250420041258id_/https://www.bathnes.gov.uk/policy-and-documents-library/farmborough-church-primary-allocation-statement-and-appeal
145583,Freshford Church School,Bath and North East Somerset,Primary,2025,20,,,True,6553,,https://web.archive.org/web/20250420041258id_/https://www.bathnes.gov.uk/policy-and-documents-library/freshford-church-school-allocation-statement-and-appeal
141149,High Littleton CofE VC Primary School,Bath and North East Somerset,Primary,2025,29,,,True,1524,,https://www.bathnes.gov.uk/policy-and-documents-library/high-littleton-c-e-primary-allocation-statement-and-appeal
144282,Marksbury CofE Primary School,Bath and North East Somerset,Primary,2025,15,,,True,5868,,https://www.bathnes.gov.uk/policy-and-documents-library/marksbury-primary-school-allocation-statement-and-appeal
142715,Moorlands Infant School,Bath and North East Somerset,Primary,2025,60,,,True,1323,,https://www.bathnes.gov.uk/policy-and-documents-library/moorlands-infant-school-allocation-statement-and-appeal
143557,Oldfield Park Infant School,Bath and North East Somerset,Primary,2025,60,,,True,1867,,https://www.bathnes.gov.uk/policy-and-documents-library/oldfield-park-infants-school-allocation-statement-and-appeal
146978,Pensford Primary School,Bath and North East Somerset,Primary,2025,15,,,True,3954,,https://www.bathnes.gov.uk/policy-and-documents-library/pensford-primary-allocation-statement-and-appeal-0
144762,Somerdale Educate Together Primary Academy,Bath and North East Somerset,,2025,30,,,True,1730,Category 1,https://www.bathnes.gov.uk/policy-and-documents-library/somerdale-et-primary-allocation-statement-and-appeal
145517,St Stephens Church School,Bath and North East Somerset,Primary,2025,60,,,True,2802,Category 1,https://www.bathnes.gov.uk/policy-and-documents-library/st-stephens-primary-church-school-allocation-statement-and-appeal
146952,Castle Primary School,Bath and North East Somerset,Primary,2024,60,,,True,11481,,https://www.bathnes.gov.uk/policy-and-documents-library/castle-primary-allocation-statement-and-appeal
145583,Freshford Church School,Bath and North East Somerset,Primary,2024,20,,,True,2966,,https://www.bathnes.gov.uk/policy-and-documents-library/freshford-church-school-allocation-statement-and-appeal
145899,Mulberry Park Educate Together Primary Academy,Bath and North East Somerset,,2024,30,,,True,,all applicants,https://www.bathnes.gov.uk/policy-and-documents-library/mulberry-park-primary-allocation-statement-and-appeal
143915,Norton Hill Primary School,Bath and North East Somerset,Primary,2024,60,,,True,872,,https://www.bathnes.gov.uk/policy-and-documents-library/norton-hill-primary-allocation-statement-and-appeal
143557,Oldfield Park Infant School,Bath and North East Somerset,Primary,2024,60,,,True,1867,,https://www.bathnes.gov.uk/policy-and-documents-library/oldfield-park-infants-school-allocation-statement-and-appeal
146978,Pensford Primary School,Bath and North East Somerset,Primary,2024,15,,,True,3954,,https://www.bathnes.gov.uk/policy-and-documents-library/pensford-primary-allocation-statement-and-appeal-0
142227,St John's Church of England Primary School,Bath and North East Somerset,,2024,30,,,True,491,,https://www.bathnes.gov.uk/policy-and-documents-library/st-johns-c-e-primary-keynsham-allocation-statement-and-appeal
146396,St Julian's Church School,Bath and North East Somerset,Primary,2024,16,,,True,3508,,https://www.bathnes.gov.uk/policy-and-documents-library/st-julians-allocation-statement-and-appeal
