urn,name,fsm_pct,sen_pct,eal_pct,girls_pct,boys_pct,class_size_avg,pupil_teacher_ratio,pupils_on_roll,year,eth_white_british,eth_irish,eth_traveller_irish,eth_white_other,eth_gypsy_roma,eth_mixed_wbcaribbean,eth_mixed_wbafrican,eth_mixed_wasian,eth_mixed_other,eth_indian,eth_pakistani,eth_bangladeshi,eth_asian_other,eth_caribbean,eth_african,eth_black_other,eth_chinese,eth_other,eth_unclassified
108893,St Philips Marsh Nursery School and Barton Hill Childrens Centre/Cashmore Early Years Centre,20.6,,34.0,53.2,46.8,,,141,2025,36.9,0.0,1.4,7.8,0.0,7.1,0.0,0.0,3.5,0.0,3.5,1.4,1.4,2.8,24.1,3.5,0.0,5.7,0.7
108894,Filton Avenue Nursery School,36.3,,35.0,43.9,56.1,,,157,2025,40.1,0.0,0.0,6.4,0.6,5.7,3.2,3.2,1.3,3.8,8.3,2.5,4.5,1.3,12.7,0.0,0.6,4.5,1.3
108895,Little Hayes Nursery School,40.4,,51.9,53.8,46.2,,,104,2025,17.3,0.0,0.0,6.7,0.0,9.6,3.8,1.0,3.8,4.8,12.5,2.9,5.8,1.9,14.4,2.9,1.9,3.8,6.7
108896,Ilminster Avenue Nursery School,38.8,,15.3,48.6,51.4,,,183,2025,74.9,0.0,0.0,6.0,0.0,0.0,1.1,0.5,9.3,0.0,0.0,0.0,1.1,0.0,2.7,2.7,0.0,1.6,0.0
108898,Rosemary Nursery School and Children's Centre,62.3,,80.5,57.1,42.9,,,77,2025,1.3,0.0,0.0,3.9,0.0,5.2,3.9,0.0,11.7,1.3,6.5,1.3,3.9,2.6,45.5,5.2,0.0,1.3,6.5
108900,Speedwell Nursery School,31.4,,52.9,52.9,47.1,,,70,2025,32.9,0.0,0.0,12.9,0.0,4.3,0.0,0.0,0.0,0.0,7.1,1.4,7.1,5.7,8.6,2.9,0.0,5.7,11.4
108901,St Pauls Nursery School & Children's Centre,8.9,,23.0,49.6,50.4,,,135,2025,26.7,0.0,0.0,6.7,0.0,4.4,4.4,3.0,8.1,0.7,8.9,0.0,3.7,3.0,25.9,3.0,0.0,1.5,0.0
108902,St Werburghs Park Nursery School,27.4,,31.0,48.8,51.2,,,84,2025,22.6,0.0,0.0,4.8,0.0,6.0,0.0,4.8,7.1,1.2,13.1,0.0,10.7,2.4,10.7,7.1,0.0,0.0,9.5
108904,Redcliffe Childrens Centre and Maintained Nursery School,35.7,,28.7,49.7,50.3,,,143,2025,32.9,0.7,0.0,5.6,0.0,2.8,1.4,2.1,11.2,0.7,4.9,0.0,1.4,0.0,16.1,4.2,1.4,14.0,0.7
108905,The Limes Nursery School,25.4,,35.2,50.8,49.2,,,122,2025,33.6,0.8,0.0,5.7,1.6,3.3,1.6,6.6,7.4,0.8,7.4,0.0,7.4,0.0,15.6,1.6,0.0,1.6,4.9
108906,Hartcliffe Nursery School and Children's Centre,36.4,,12.0,45.9,54.1,,,209,2025,73.2,0.0,0.0,3.3,0.5,3.8,1.0,0.5,2.4,1.9,1.0,0.0,1.9,0.0,6.7,1.4,0.0,1.4,1.0
108910,Brunel Field Primary School,5.0,,14.8,45.7,54.3,28.4,,398,2025,69.6,1.0,0.0,9.8,0.0,1.0,1.0,5.0,3.5,0.3,2.0,0.3,1.0,1.0,1.5,0.8,1.8,0.3,0.3
108911,Ashley Down Primary School,10.1,,18.1,48.9,51.1,28.4,,397,2025,72.8,0.8,0.0,5.3,0.0,1.8,2.3,3.3,2.3,2.0,0.8,0.5,1.8,1.3,2.8,0.3,0.8,1.3,0.3
108919,Broomhill Junior School,41.7,,26.1,52.2,47.8,20.0,,180,2025,62.8,0.6,0.0,11.7,0.0,6.1,2.2,2.2,0.6,0.6,2.8,1.1,1.1,0.0,6.1,1.1,0.0,1.1,0.0
