urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
108910,Brunel Field Primary School,Primary,61.0,8.0,110.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108911,Ashley Down Primary School,Primary,79.0,0.0,109.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108919,Broomhill Junior School,Primary,61.0,2.0,103.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108920,Chester Park Junior School,Primary,46.0,2.0,102.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108931,Glenfrome Primary School,Primary,47.0,5.0,105.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108961,Sefton Park Junior School,Primary,71.0,7.0,109.0,107.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108964,Southville Primary School,Primary,72.0,9.0,107.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108970,Upper Horfield Primary School,Primary,54.0,4.0,106.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108975,Holymead Primary School,Primary,59.0,8.0,106.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
108980,Brentry Primary School,Primary,48.0,7.0,106.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109089,Paulton Junior School,Primary,69.0,10.0,105.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109110,Hannah More Primary School,Primary,47.0,3.0,104.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109116,Bishop Road Primary School,Primary,84.0,26.0,110.0,109.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109118,Blaise Primary and Nursery School,Primary,60.0,7.0,103.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109130,Fair Furlong Primary School,Primary,17.0,0.0,99.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109132,Whitehall Primary School,Primary,59.0,6.0,107.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109140,Avonmouth Church of England Primary School and Nursery,Primary,45.0,0.0,104.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109146,"St Johns Church of England Primary School, Clifton",Primary,67.0,16.0,107.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109243,School of Christ The King Catholic Primary,Primary,41.0,0.0,99.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109244,Holy Cross RC Primary School,Primary,48.0,4.0,103.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109245,Ss Peter and Paul RC Primary School,Primary,60.0,10.0,107.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109247,St Joseph's Catholic Primary School,Primary,65.0,0.0,106.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109251,"Our Lady of the Rosary Catholic Primary School, Bristol",Primary,87.0,7.0,109.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109254,St Bernadette Catholic Voluntary Aided Primary School,Primary,69.0,3.0,109.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
109327,St Mary Redcliffe and Temple School,Secondary,,,,,0.24,51.7,4.39,52.8,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
109329,Saint Gregory's Catholic College,Secondary,,,,,0.42,51.0,4.33,47.1,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
109331,St Bernadette Catholic Secondary School,Secondary,,,,,-0.32,43.0,3.57,31.9,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
131019,Newbridge Primary School,Primary,57.0,14.0,106.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
131522,Hillcrest Primary School,Primary,68.0,3.0,108.0,107.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
132196,Shirehampton Primary School,Primary,55.0,9.0,104.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
134917,St Keyna Primary School,Primary,57.0,4.0,104.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
135203,Knowle Park Primary School,Primary,56.0,13.0,103.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
135300,Bristol Brunel Academy,Secondary,,,,,0.24,45.1,4.08,37.2,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
