urn,name,phase,year,expected_pct,higher_pct,a8,p8
108910,Brunel Field Primary School,Primary,2023,61.0,8.0,,
108910,Brunel Field Primary School,Primary,2024,60.0,9.0,,
108911,Ashley Down Primary School,Primary,2023,79.0,0.0,,
108911,Ashley Down Primary School,Primary,2024,65.0,8.0,,
108919,Broomhill Junior School,Primary,2023,61.0,2.0,,
108919,Broomhill Junior School,Primary,2024,53.0,5.0,,
108920,Chester Park Junior School,Primary,2023,46.0,2.0,,
108920,Chester Park Junior School,Primary,2024,47.0,8.0,,
108931,Glenfrome Primary School,Primary,2023,47.0,5.0,,
108931,Glenfrome Primary School,Primary,2024,60.0,0.0,,
108961,Sefton Park Junior School,Primary,2023,71.0,7.0,,
108961,Sefton Park Junior School,Primary,2024,53.0,4.0,,
108964,Southville Primary School,Primary,2023,72.0,9.0,,
108964,Southville Primary School,Primary,2024,70.0,11.0,,
108970,Upper Horfield Primary School,Primary,2023,54.0,4.0,,
108970,Upper Horfield Primary School,Primary,2024,72.0,8.0,,
108975,Holymead Primary School,Primary,2023,59.0,8.0,,
108975,Holymead Primary School,Primary,2024,60.0,8.0,,
108980,Brentry Primary School,Primary,2023,48.0,7.0,,
108980,Brentry Primary School,Primary,2024,59.0,7.0,,
109089,Paulton Junior School,Primary,2023,69.0,10.0,,
109089,Paulton Junior School,Primary,2024,56.0,3.0,,
109110,Hannah More Primary School,Primary,2023,47.0,3.0,,
109110,Hannah More Primary School,Primary,2024,40.0,5.0,,
109116,Bishop Road Primary School,Primary,2023,84.0,26.0,,
109116,Bishop Road Primary School,Primary,2024,81.0,24.0,,
109118,Blaise Primary and Nursery School,Primary,2023,60.0,7.0,,
109118,Blaise Primary and Nursery School,Primary,2024,54.0,5.0,,
109130,Fair Furlong Primary School,Primary,2023,17.0,0.0,,
109130,Fair Furlong Primary School,Primary,2024,47.0,4.0,,
109132,Whitehall Primary School,Primary,2023,59.0,6.0,,
109132,Whitehall Primary School,Primary,2024,52.0,2.0,,
109140,Avonmouth Church of England Primary School and Nursery,Primary,2023,45.0,0.0,,
109140,Avonmouth Church of England Primary School and Nursery,Primary,2024,40.0,0.0,,
109146,"St Johns Church of England Primary School, Clifton",Primary,2023,67.0,16.0,,
109146,"St Johns Church of England Primary School, Clifton",Primary,2024,68.0,14.0,,
109243,School of Christ The King Catholic Primary,Primary,2023,41.0,0.0,,
109243,School of Christ The King Catholic Primary,Primary,2024,53.0,7.0,,
109244,Holy Cross RC Primary School,Primary,2023,48.0,4.0,,
109244,Holy Cross RC Primary School,Primary,2024,52.0,0.0,,
109245,Ss Peter and Paul RC Primary School,Primary,2023,60.0,10.0,,
109245,Ss Peter and Paul RC Primary School,Primary,2024,86.0,24.0,,
109247,St Joseph's Catholic Primary School,Primary,2023,65.0,0.0,,
109247,St Joseph's Catholic Primary School,Primary,2024,37.0,4.0,,
109251,"Our Lady of the Rosary Catholic Primary School, Bristol",Primary,2023,87.0,7.0,,
109251,"Our Lady of the Rosary Catholic Primary School, Bristol",Primary,2024,69.0,3.0,,
109254,St Bernadette Catholic Voluntary Aided Primary School,Primary,2023,69.0,3.0,,
109254,St Bernadette Catholic Voluntary Aided Primary School,Primary,2024,57.0,0.0,,
109327,St Mary Redcliffe and Temple School,Secondary,2024,,,51.7,0.24
109329,Saint Gregory's Catholic College,Secondary,2024,,,51.0,0.42
109331,St Bernadette Catholic Secondary School,Secondary,2024,,,43.0,-0.32
131019,Newbridge Primary School,Primary,2023,57.0,14.0,,
131019,Newbridge Primary School,Primary,2024,64.0,0.0,,
131522,Hillcrest Primary School,Primary,2023,68.0,3.0,,
131522,Hillcrest Primary School,Primary,2024,55.0,2.0,,
132196,Shirehampton Primary School,Primary,2023,55.0,9.0,,
132196,Shirehampton Primary School,Primary,2024,47.0,5.0,,
134917,St Keyna Primary School,Primary,2023,57.0,4.0,,
134917,St Keyna Primary School,Primary,2024,41.0,3.0,,
135203,Knowle Park Primary School,Primary,2023,56.0,13.0,,
135203,Knowle Park Primary School,Primary,2024,56.0,2.0,,
135300,Bristol Brunel Academy,Secondary,2024,,,45.1,0.24
135575,Bristol Cathedral Choir School,Secondary,2024,,,56.7,0.55
135663,Oasis Academy John Williams,Secondary,2024,,,42.3,-0.37
135671,Oasis Academy Brightstowe,Secondary,2024,,,33.3,-1.01
135779,Sea Mills Primary School,Primary,2023,50.0,11.0,,
135779,Sea Mills Primary School,Primary,2024,0.0,0.0,,
135867,Air Balloon Hill Primary School,Primary,2023,60.0,6.0,,
135867,Air Balloon Hill Primary School,Primary,2024,47.0,4.0,,
135872,St Peter's Church of England Primary School (VC),Primary,2023,39.0,0.0,,
135872,St Peter's Church of England Primary School (VC),Primary,2024,59.0,5.0,,
135959,Bristol Metropolitan Academy,Secondary,2024,,,48.0,0.54
136311,Somervale Secondary School,Secondary,2024,,,43.3,0.01
136335,Norton Hill Academy,Secondary,2024,,,52.2,0.16
136483,Oldfield School,Secondary,2024,,,46.4,-0.06
136804,Trinity Church School,Primary,2023,69.0,3.0,,
136804,Trinity Church School,Primary,2024,63.0,6.0,,
136822,Bristol Free School,Secondary,2024,,,58.0,0.43
136830,Elmlea Junior School,Primary,2023,84.0,16.0,,
136830,Elmlea Junior School,Primary,2024,71.0,11.0,,
136966,Hayesfield Girls School,Secondary,2024,,,57.9,0.76
137062,Westbury-On-Trym Church of England Academy,Primary,2023,75.0,11.0,,
137062,Westbury-On-Trym Church of England Academy,Primary,2024,68.0,8.0,,
137068,E-Act St Ursula's Academy,Primary,2023,80.0,0.0,,
137068,E-Act St Ursula's Academy,Primary,2024,77.0,11.0,,
137212,Waycroft Academy,Primary,2023,51.0,2.0,,
137212,Waycroft Academy,Primary,2024,65.0,0.0,,
137440,Cotham School,Secondary,2024,,,46.2,0.1
137518,Henleaze Junior School,Primary,2023,70.0,3.0,,
137518,Henleaze Junior School,Primary,2024,68.0,11.0,,
137523,Wellsway School,Secondary,2024,,,51.8,0.31
137548,Writhlington School,Secondary,2024,,,46.5,0.08
137627,St Bede's Catholic College,Secondary,2024,,,55.6,0.38
137700,Ilminster Avenue E-ACT Academy,Primary,2023,16.0,0.0,,
