district,transactions,median,mean,p25,p75,detached_med,semi_med,terraced_med,flat_med,period_from,period_to
BA1,16,637500,682625,600000.0,820000.0,,,,,2024-01-01,
BA2,30,368750,555417,287500.0,600000.0,,,,,2024-01-01,
BA3,6,207500,2707222,195000.0,460000.0,,,,,2024-01-01,
BS10,13,295000,340423,280000.0,386000.0,,,,,2024-01-01,
BS11,11,292500,289136,204000.0,352000.0,,,,,2024-01-01,
BS13,11,240000,241045,210000.0,283000.0,,,,,2024-01-01,
BS14,6,319000,313000,310000.0,335000.0,,,,,2024-01-01,
BS15,2,297388,297388,250000.0,344775.0,,,,,2024-01-01,
BS16,5,188000,299600,180000.0,420000.0,,,,,2024-01-01,
BS2,1,335000,335000,335000.0,335000.0,,,,,2024-01-01,
BS3,28,454090,482175,383000.0,545000.0,,,,,2024-01-01,
BS31,16,460500,466469,435000.0,495000.0,,,,,2024-01-01,
BS39,18,512500,543074,382500.0,725000.0,,,,,2024-01-01,
BS4,17,286000,314618,265000.0,340000.0,,,,,2024-01-01,
BS40,6,888750,881017,809300.0,1070000.0,,,,,2024-01-01,
BS5,25,255000,316311,210000.0,370000.0,,,,,2024-01-01,
BS6,9,241000,372333,150000.0,400000.0,,,,,2024-01-01,
BS7,21,385000,441588,345000.0,478000.0,,,,,2024-01-01,
BS9,9,755000,771111,749500.0,837500.0,,,,,2024-01-01,
SN15,2,1497500,1497500,895000.0,2100000.0,,,,,2024-01-01,
