urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date
108893,St Philips Marsh Nursery School and Barton Hill Childrens Centre/Cashmore Early Years Centre,Nursery,LA Nursery School,Bristol,BS2 0SU,Not applicable,NULL,130,2,5,Not applicable,South West,South West,Bristol East,4,2,25/09/2013,17/10/2013
108894,Filton Avenue Nursery School,Nursery,LA Nursery School,Bristol,BS7 0DL,Not applicable,NULL,144,2,4,Not applicable,South West,South West,Bristol North East,3,1,12/01/2016,19/02/2016
108895,Little Hayes Nursery School,Nursery,LA Nursery School,Bristol,BS16 2LL,Not applicable,NULL,109,2,5,Not applicable,South West,South West,Bristol North East,4,3,14/05/2024,23/06/2024
108896,Ilminster Avenue Nursery School,Nursery,LA Nursery School,Bristol,BS4 1BX,Not applicable,NULL,193,2,4,Not applicable,South West,South West,Bristol East,5,2,24/04/2019,14/05/2019
108898,Rosemary Nursery School and Children's Centre,Nursery,LA Nursery School,Bristol,BS2 0DT,Not applicable,NULL,88,2,5,Not applicable,South West,South West,Bristol East,5,2,08/05/2024,13/06/2024
108900,Speedwell Nursery School,Nursery,LA Nursery School,Bristol,BS5 7SY,Not applicable,NULL,94,2,5,Not applicable,South West,South West,Bristol North East,3,Not judged,05/11/2024,02/12/2024
108901,St Pauls Nursery School & Children's Centre,Nursery,LA Nursery School,Bristol,BS2 9JF,Not applicable,NULL,132,3,5,Not applicable,South West,South West,Bristol Central,4,1,09/07/2015,07/09/2015
108902,St Werburghs Park Nursery School,Nursery,LA Nursery School,Bristol,BS2 9UX,Not applicable,NULL,94,2,4,Not applicable,South West,South West,Bristol Central,3,2,20/01/2015,27/02/2015
108904,Redcliffe Childrens Centre and Maintained Nursery School,Nursery,LA Nursery School,Bristol,BS1 6RR,Not applicable,NULL,134,2,5,Not applicable,South West,South West,Bristol Central,4,1,08/07/2014,05/09/2014
108905,The Limes Nursery School,Nursery,LA Nursery School,Bristol,BS5 9AT,Not applicable,NULL,121,2,5,Not applicable,South West,South West,Bristol East,3,2,17/06/2014,09/07/2014
108906,Hartcliffe Nursery School and Children's Centre,Nursery,LA Nursery School,Bristol,BS13 0JW,Not applicable,NULL,230,2,4,Not applicable,South West,South West,Bristol South,5,Not judged,01/10/2024,24/10/2024
108910,Brunel Field Primary School,Primary,Community School,Bristol,BS7 9JT,Not applicable,NULL,393,4,11,Does not have a sixth form,South West,South West,Bristol North West,1,2,21/11/2023,15/01/2024
