urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date,lat,lng,oa21,lsoa,msoa,ward,district,parish
108893,St Philips Marsh Nursery School and Barton Hill Childrens Centre/Cashmore Early Years Centre,Nursery,LA Nursery School,Bristol,BS2 0SU,Not applicable,NULL,130,2,5,Not applicable,South West,South West,Bristol East,4,2,25/09/2013,17/10/2013,51.447886,-2.56953,E00074006,Bristol 056B,Bristol 056,Lawrence Hill,"Bristol, City of","Bristol, City of, unparished area"
108894,Filton Avenue Nursery School,Nursery,LA Nursery School,Bristol,BS7 0DL,Not applicable,NULL,144,2,4,Not applicable,South West,South West,Bristol North East,3,1,12/01/2016,19/02/2016,51.491196,-2.573728,E00074046,Bristol 005D,Bristol 005,Lockleaze,"Bristol, City of","Bristol, City of, unparished area"
108895,Little Hayes Nursery School,Nursery,LA Nursery School,Bristol,BS16 2LL,Not applicable,NULL,109,2,5,Not applicable,South West,South West,Bristol North East,4,3,14/05/2024,23/06/2024,51.483671,-2.523517,E00073683,Bristol 013E,Bristol 013,Frome Vale,"Bristol, City of","Bristol, City of, unparished area"
108896,Ilminster Avenue Nursery School,Nursery,LA Nursery School,Bristol,BS4 1BX,Not applicable,NULL,193,2,4,Not applicable,South West,South West,Bristol East,5,2,24/04/2019,14/05/2019,51.426491,-2.575735,E00073999,Bristol 044D,Bristol 044,Knowle,"Bristol, City of","Bristol, City of, unparished area"
108898,Rosemary Nursery School and Children's Centre,Nursery,LA Nursery School,Bristol,BS2 0DT,Not applicable,NULL,88,2,5,Not applicable,South West,South West,Bristol East,5,2,08/05/2024,13/06/2024,51.457823,-2.580189,E00174322,Bristol 054D,Bristol 054,Lawrence Hill,"Bristol, City of","Bristol, City of, unparished area"
108900,Speedwell Nursery School,Nursery,LA Nursery School,Bristol,BS5 7SY,Not applicable,NULL,94,2,5,Not applicable,South West,South West,Bristol North East,3,Not judged,05/11/2024,02/12/2024,51.467427,-2.530658,E00073860,Bristol 021C,Bristol 021,Eastville,"Bristol, City of","Bristol, City of, unparished area"
108901,St Pauls Nursery School & Children's Centre,Nursery,LA Nursery School,Bristol,BS2 9JF,Not applicable,NULL,132,3,5,Not applicable,South West,South West,Bristol Central,4,1,09/07/2015,07/09/2015,51.462215,-2.584894,E00174053,Bristol 059D,Bristol 059,Ashley,"Bristol, City of","Bristol, City of, unparished area"
108902,St Werburghs Park Nursery School,Nursery,LA Nursery School,Bristol,BS2 9UX,Not applicable,NULL,94,2,4,Not applicable,South West,South West,Bristol Central,3,2,20/01/2015,27/02/2015,51.471329,-2.572917,E00073156,Bristol 058A,Bristol 058,Ashley,"Bristol, City of","Bristol, City of, unparished area"
108904,Redcliffe Childrens Centre and Maintained Nursery School,Nursery,LA Nursery School,Bristol,BS1 6RR,Not applicable,NULL,134,2,5,Not applicable,South West,South West,Bristol Central,4,1,08/07/2014,05/09/2014,51.445883,-2.588917,E00074010,Bristol 054E,Bristol 054,Central,"Bristol, City of","Bristol, City of, unparished area"
108905,The Limes Nursery School,Nursery,LA Nursery School,Bristol,BS5 9AT,Not applicable,NULL,121,2,5,Not applicable,South West,South West,Bristol East,3,2,17/06/2014,09/07/2014,51.464074,-2.555883,E00073572,Bristol 057C,Bristol 057,Easton,"Bristol, City of","Bristol, City of, unparished area"
