ref,name,address,town,county,postcode,type,management,lat,lng,enrolment,ptr
1AB0427,174 Trust Playgroup,"Duncairn Complex, 1 Duncairn Avenue",BELFAST,ANTRIM,BT14 6BP,VP Pre-schools,Other,54.61253,-5.93645,,
5420059,Abbey Christian Brothers Grammar School,77a Ashgrove Road,NEWRY,DOWN,BT34 2QN,Secondary (grammar) school,Voluntary,54.19349,-6.32846,850,15.81
3210313,Abbey Community College,"Bridge Road, Monkstown",NEWTOWNABBEY,ANTRIM,BT37 0EA,Secondary (non-grammar) school,Controlled,54.69015,-5.91848,820,13.5
4016399,Abbey Primary School,90 MOVILLA ROAD,NEWTOWNARDS,DOWN,BT23 8RQ,Primary school,Controlled,54.59601,-5.66723,610,24.83
3010862,Abbots Cross Primary School,86 DOAGH ROAD,NEWTOWNABBEY,ANTRIM,BT37 9QW,Primary school,Controlled,54.66801,-5.91408,523,19.06
5011594,Abercorn Primary School,NEWRY ROAD,BANBRIDGE,DOWN,BT32 3HR,Primary school,Controlled,54.34449101,-6.274800943,434,23.67
4016201,Academy Primary School,194 LISTOODER ROAD,SAINTFIELD,DOWN,BT24 7JA,Primary school,Controlled,54.45582,-5.83136,395,25.75
3066568,Acorn Integrated Primary School,110 VICTORIA ROAD,CARRICKFERGUS,ANTRIM,BT38 7JL,Primary school,Grant Maintained Integrated,54.73025,-5.79689,203,22.82
3AB0128,Aghadowey Pre-School Playgroup,"32 Mullaghinch Road, Aghadowey",COLERAINE,LONDONDERRY,BT51 4AP,VP Pre-schools,Other,55.02852,-6.61896,,
2011873,Aghadrumsee Primary School,14 AGHADRUMSEE ROAD,ENNISKILLEN,FERMANAGH,BT92 7AU,Primary school,Controlled,54.22984,-7.27745,81,15
5BB0202,Aghagallon Pre-School,"St Patricks Primary School, 3 Aghalee Road, Aghagallon",CRAIGAVON,ARMAGH,BT67 0AR,VP Pre-schools,Other,54.50933,-6.29315,,
3AB0640,Ahoghill & District Community Pre-School Playgroup,58 Cardonaghy Road,BALLYMENA,ANTRIM,BT42 1EF,VP Pre-schools,Voluntary,54.86877,-6.36601,,
4013046,Alexander Dickson Primary School,"COMBER ROAD, BALLYGOWAN",NEWTOWNARDS,DOWN,BT23 5TN,Primary school,Controlled,54.50364,-5.78846,145,20.11
4056541,All Childrens Integrated Primary School,3A King Street,NEWCASTLE,DOWN,BT33 0HD,Primary school,Controlled Integrated,54.20117,-5.8931,203,23.6
2036557,All Saints Primary School,42 TATTYSALLAGH ROAD,OMAGH,TYRONE,BT78 5BR,Primary school,Roman Catholic Maintained,54.56059,-7.40137,111,20.4
3AB0353,Alphabet Playgroup,"Community Centre, 15a Glassillan Grove",GREENISLAND,ANTRIM,BT38 8TE,VP Pre-schools,Other,54.6975,-5.87108,,
2032722,Altishane Primary School,"139 DUNNYBOE ROAD, DUNAMANAGH",STRABANE,TYRONE,BT82 0RE,Primary school,Roman Catholic Maintained,54.83664,-7.28007,48,8.5
3012234,Ampertaine Primary School,"94 KILREA ROAD, UPPERLANDS",MAGHERA,LONDONDERRY,BT46 5SB,Primary school,Controlled,54.88365,-6.63151,138,23.33
4AB0431,Anahilt Pre-School Playgroup,"29a West Winds Terrace, Anahilt",HILLSBOROUGH,DOWN,BT26 6BS,VP Pre-schools,Other,54.43622,-5.99911,,
4011608,Anahilt Primary School,248 BALLYNAHINCH ROAD,HILLSBOROUGH,DOWN,BT26 6BP,Primary school,Controlled,54.43679,-6.00042,300,21.28
3032257,Anahorish Primary School,"120 DEERPARK ROAD, TOOMEBRIDGE",ANTRIM,ANTRIM,BT41 3SS,Primary school,Roman Catholic Maintained,54.76633,-6.50263,174,22.75
5031146,Anamar Primary School,"67 KILTYBANE ROAD, CROSSMAGLEN",NEWRY,DOWN,BT35 9BH,Primary school,Roman Catholic Maintained,54.11035,-6.61837,91,11.67
4016126,Andrews Memorial Primary School,"4 BALLYGOWAN ROAD, COMBER",NEWTOWNARDS,DOWN,BT23 5PG,Primary school,Controlled,54.54686,-5.75425,368,24.14
5011684,Annalong Primary School,31 KILKEEL ROAD,NEWRY,DOWN,BT34 4TH,Primary school,Controlled,54.10725,-5.90284,185,26.07
4053009,Annsborough Primary School,51 BALLYLOUGH ROAD,CASTLEWELLAN,DOWN,BT31 9NN,Primary school,Controlled Integrated,54.26768,-5.92063,85,14
3410209,Antrim Grammar School,10 STEEPLE ROAD,ANTRIM,ANTRIM,BT41 1AF,Secondary (grammar) school,Controlled,54.72363,-6.21251,740,16.08
3010829,Antrim Primary School,31 STATION ROAD,ANTRIM,ANTRIM,BT41 4AB,Primary school,Controlled,54.71678,-6.21577,600,24.92
4BB0310,Apple Blossom Pre-School,"St Joseph's Primary School, 4 Ballynahinch Road, Crossgar",DOWNPATRICK,DOWN,BT30 9HS,VP Pre-schools,Other,54.39775,-5.76448,,
3CB0567,Appletree Childcare,"37 - 39 Tirkeeran Road, Garvagh",COLERAINE,LONDONDERRY,BT51 5AX,VP Pre-schools,Other,54.96866,-6.70652,,
1420277,Aquinas Diocesan Grammar School,518 RAVENHILL ROAD,BELFAST,ANTRIM,BT6 0BY,Secondary (grammar) school,Voluntary,54.57617,-5.90744,770,15.3
4BB0158,Ardglass Community Playgroup,21 Downpatrick Road,ARDGLASS,DOWN,BT30 7SF,VP Pre-schools,Other,54.26602,-5.61502,,
