seed,avg_total_tariff,avg_tariff,avg_comp_tariff,pct_5plus_scqf6,pct_5plus_scqf5,pct_3plus_scqf6,pct_1plus_scqf6,pct_1plus_scqf5,pct_1plus_scqf4,pct_1plus_scqf3
1002732,1005,,,,,,,,,
1003232,35,,,,,,,,,
1004166,1495,,,,,,,,,
1004522,865,,,,,,,,,
1004620,447,,,,,,,,,
1004743,1934,,,,,,,,,
1005014,566,,,,,,,,,
1005944,251,,,,,,,,,
5102030,133,,,,,,,,,
5102138,98,,,,,,,,,
5109434,131,,,,,,,,,
5109531,640,,,,,,,,,
5110432,1017,,,,,,,,,
5119030,904,,,,,,,,,
5119138,672,,,,,,,,,
5119332,1976,,,,,,,,,
5119634,1639,,,,,,,,,
5119839,1878,,,,,,,,,
5119936,1899,,,,,,,,,
5120136,1768,,,,,,,,,
5123437,1707,,,,,,,,,
5128234,124,,,,,,,,,
5130239,898,,,,,,,,,
5135532,726,,,,,,,,,
5135834,902,,,,,,,,,
5135931,102,,,,,,,,,
5142431,824,,,,,,,,,
5142539,139,,,,,,,,,
5142636,527,,,,,,,,,
5142830,908,,,,,,,,,
5142938,2042,,,,,,,,,
5143837,602,,,,,,,,,
5143934,1955,,,,,,,,,
5146038,1864,,,,,,,,,
5150132,182,,,,,,,,,
5153131,126,,,,,,,,,
5202736,802,,,,,,,,,
5202930,77,,,,,,,,,
5203031,106,,,,,,,,,
5203139,700,,,,,,,,,
5208734,1662,,,,,,,,,
5208831,1597,,,,,,,,,
5208939,805,,,,,,,,,
5210038,1617,,,,,,,,,
5213231,1524,,,,,,,,,
5219736,81,,,,,,,,,
5220734,110,,,,,,,,,
5221234,572,,,,,,,,,
5222133,646,,,,,,,,,
5230934,211,,,,,,,,,
5231132,1012,,,,,,,,,
5231434,1736,,,,,,,,,
5231639,797,,,,,,,,,
5232333,2064,,,,,,,,,
5232937,293,,,,,,,,,
5233038,1104,,,,,,,,,
5234034,121,,,,,,,,,
5235634,147,,,,,,,,,
5235839,1409,,,,,,,,,
5243238,832,,,,,,,,,
5243335,748,,,,,,,,,
5243432,1963,,,,,,,,,
5243831,716,,,,,,,,,
5244234,20,,,,,,,,,
5244439,2138,,,,,,,,,
5244838,347,,,,,,,,,
5246237,2370,,,,,,,,,
5246431,58,,,,,,,,,
5251834,1106,,,,,,,,,
5251931,188,,,,,,,,,
5252032,777,,,,,,,,,
5257530,1060,,,,,,,,,
5258030,2006,,,,,,,,,
5307031,508,,,,,,,,,
5307139,695,,,,,,,,,
5307236,1810,,,,,,,,,
5307430,1665,,,,,,,,,
5307538,603,,,,,,,,,
5307732,115,,,,,,,,,
5308038,1734,,,,,,,,,
5329132,56,,,,,,,,,
5329434,221,,,,,,,,,
5329531,1813,,,,,,,,,
5330033,579,,,,,,,,,
5330238,731,,,,,,,,,
5330432,78,,,,,,,,,
5330831,637,,,,,,,,,
5331137,556,,,,,,,,,
5339537,1902,,,,,,,,,
5339731,444,,,,,,,,,
5349834,153,,,,,,,,,
5350034,865,,,,,,,,,
5350131,1863,,,,,,,,,
5350239,1897,,,,,,,,,
5350336,1962,,,,,,,,,
5350530,1150,,,,,,,,,
5350638,1857,,,,,,,,,
5350832,551,,,,,,,,,
5351030,1032,,,,,,,,,
5351332,#,,,,,,,,,
5406331,619,,,,,,,,,
5406439,816,,,,,,,,,
5406536,91,,,,,,,,,
5406730,504,,,,,,,,,
5406838,920,,,,,,,,,
5407036,702,,,,,,,,,
5407230,98,,,,,,,,,
5407338,517,,,,,,,,,
5407532,549,,,,,,,,,
5426138,173,,,,,,,,,
5426332,160,,,,,,,,,
5426537,2140,,,,,,,,,
5446139,2088,,,,,,,,,
5446236,102,,,,,,,,,
5446430,969,,,,,,,,,
5446538,649,,,,,,,,,
5446732,790,,,,,,,,,
5447232,1800,,,,,,,,,
5447437,438,,,,,,,,,
5502330,947,,,,,,,,,
5502535,1896,,,,,,,,,
5502632,1782,,,,,,,,,
5509238,97,,,,,,,,,
5509432,1944,,,,,,,,,
5509939,913,,,,,,,,,
5510031,104,,,,,,,,,
5510236,406,,,,,,,,,
5510430,63,,,,,,,,,
5512131,1779,,,,,,,,,
5512530,1124,,,,,,,,,
5518334,2025,,,,,,,,,
5531438,1634,,,,,,,,,
5531632,144,,,,,,,,,
5531934,393,,,,,,,,,
5532132,326,,,,,,,,,
5532434,600,,,,,,,,,
5532531,936,,,,,,,,,
5532639,2155,,,,,,,,,
5532736,828,,,,,,,,,
5532930,138,,,,,,,,,
5533031,951,,,,,,,,,
5533139,481,,,,,,,,,
5533236,852,,,,,,,,,
5533430,1772,,,,,,,,,
5533538,275,,,,,,,,,
5533732,1327,,,,,,,,,
5533937,277,,,,,,,,,
5534038,203,,,,,,,,,
5534232,271,,,,,,,,,
5534534,1089,,,,,,,,,
5534631,879,,,,,,,,,
5540739,2046,,,,,,,,,
5541638,2097,,,,,,,,,
5545838,786,,,,,,,,,
5546036,580,,,,,,,,,
5546230,872,,,,,,,,,
5546532,122,,,,,,,,,
5546834,140,,,,,,,,,
5547938,156,,,,,,,,,
5550831,1918,,,,,,,,,
5555736,248,,,,,,,,,
5555930,852,,,,,,,,,
5556031,1323,,,,,,,,,
5556139,111,,,,,,,,,
5556236,784,,,,,,,,,
5601932,2136,,,,,,,,,
5616530,956,,,,,,,,,
5619734,105,,,,,,,,,
5619831,1742,,,,,,,,,
5632536,1828,,,,,,,,,
5632730,108,,,,,,,,,
5632838,136,,,,,,,,,
5647339,841,,,,,,,,,
5647436,768,,,,,,,,,
5702534,711,,,,,,,,,
5702631,1654,,,,,,,,,
5702836,824,,,,,,,,,
5722330,2033,,,,,,,,,
5722438,1340,,,,,,,,,
5726034,343,,,,,,,,,
5726131,713,,,,,,,,,
5726239,1022,,,,,,,,,
5726336,154,,,,,,,,,
5726530,2051,,,,,,,,,
5745438,117,,,,,,,,,
5745632,108,,,,,,,,,
5746132,675,,,,,,,,,
5746434,185,,,,,,,,,
5746531,144,,,,,,,,,
5746639,145,,,,,,,,,
5747031,151,,,,,,,,,
5758734,130,,,,,,,,,
5902932,835,,,,,,,,,
5903130,726,,,,,,,,,
5918030,615,,,,,,,,,
5918138,1906,,,,,,,,,
5918332,#,,,,,,,,,
5918731,191,,,,,,,,,
5939038,99,,,,,,,,,
5939232,1030,,,,,,,,,
5939534,1374,,,,,,,,,
5939631,1699,,,,,,,,,
5939739,1863,,,,,,,,,
5941032,2046,,,,,,,,,
5948339,1455,,,,,,,,,
5948533,147,,,,,,,,,
5948630,136,,,,,,,,,
5948738,117,,,,,,,,,
6002730,1792,,,,,,,,,
