seed,year,pct_positive_destination
1002732,Academic year 2024-25,88
1003232,Academic year 2024-25,90
1004166,Academic year 2023-24,92
1004522,Academic year 2024-25,97
1004620,Academic year 2024-25,92
1005014,Academic year 2024-25,95
5102030,Academic year 2024-25,95
5102138,Academic year 2024-25,92
5109434,Academic year 2022-23,100
5109531,Academic year 2023-24,95
5110432,Academic year 2023-24,100
5119030,Academic year 2024-25,100
5119138,Academic year 2024-25,96
5119332,Academic year 2024-25,95
5119634,Academic year 2024-25,94
5119839,Academic year 2024-25,95
5119936,Academic year 2020-21,100
5120136,Academic year 2024-25,95
5123437,Academic year 2024-25,97
5130239,Academic year 2023-24,95
5135532,Academic year 2020-21,100
5135834,Academic year 2022-23,100
5135931,Academic year 2024-25,96
5142431,Academic year 2019-20,100
5142539,Academic year 2024-25,87
5142636,Academic year 2024-25,84
5142830,Academic year 2024-25,96
5142938,Academic year 2024-25,96
5143837,Academic year 2024-25,95
5143934,Academic year 2024-25,97
5146038,Academic year 2021-22,96
5153131,Academic year 2024-25,95
5153239,Academic year 2022-23,93
5202736,Academic year 2024-25,97
5202930,Academic year 2023-24,97
5203031,Academic year 2024-25,96
5203139,Academic year 2023-24,92
5208734,Academic year 2024-25,96
5208831,Academic year 2022-23,94
5208939,Academic year 2015-16,93
5210038,Academic year 2024-25,94
5213231,Academic year 2024-25,92
5219736,Academic year 2024-25,95
5220734,Academic year 2024-25,95
5221234,Academic year 2024-25,95
5222133,Academic year 2024-25,96
5230934,Academic year 2023-24,97
5231132,Academic year 2024-25,95
5231434,Academic year 2023-24,95
5231639,Academic year 2024-25,93
5232333,Academic year 2024-25,92
5232937,Academic year 2024-25,96
5233038,Academic year 2024-25,97
5234034,Academic year 2023-24,95
5235634,Academic year 2024-25,91
5235839,Academic year 2024-25,99
5243238,Academic year 2024-25,95
5243335,Academic year 2024-25,95
5243432,Academic year 2024-25,88
5243831,Academic year 2017-18,93
5244234,Academic year 2024-25,90
5244439,Academic year 2023-24,97
5244838,Academic year 2017-18,82
5246237,Academic year 2023-24,96
5246431,Academic year 2024-25,92
5251834,Academic year 2024-25,97
5251931,Academic year 2024-25,94
5252032,Academic year 2024-25,91
5257530,Academic year 2023-24,100
5258030,Academic year 2024-25,97
5307031,Academic year 2024-25,87
5307139,Academic year 2024-25,94
5307236,Academic year 2024-25,94
5307430,Academic year 2023-24,95
5307538,Academic year 2024-25,96
5307732,Academic year 2023-24,90
5308038,Academic year 2024-25,96
5329132,Academic year 2024-25,93
5329434,Academic year 2024-25,97
5329531,Academic year 2024-25,97
5330033,Academic year 2024-25,93
5330238,Academic year 2015-16,93
5330432,Academic year 2024-25,95
5330831,Academic year 2024-25,94
5331137,Academic year 2024-25,95
5339537,Academic year 2024-25,96
5339731,Academic year 2024-25,95
5349834,Academic year 2022-23,96
5350034,Academic year 2021-22,97
5350131,Academic year 2024-25,95
5350239,Academic year 2023-24,95
5350336,Academic year 2019-20,95
5350530,Academic year 2022-23,95
5350638,Academic year 2024-25,96
5350832,Academic year 2024-25,94
5351030,Academic year 2024-25,96
5351332,Academic year 2024-25,#
5406331,Academic year 2015-16,84
5406439,Academic year 2024-25,98
5406536,Academic year 2024-25,95
5406730,Academic year 2024-25,96
5406838,Academic year 2024-25,98
5407036,Academic year 2024-25,94
5407230,Academic year 2024-25,94
5407338,Academic year 2023-24,96
5407532,Academic year 2015-16,86
5426138,Academic year 2022-23,93
5426332,Academic year 2024-25,95
5426537,Academic year 2023-24,97
5446139,Academic year 2022-23,97
5446236,Academic year 2024-25,95
5446430,Academic year 2024-25,96
5446538,Academic year 2020-21,94
5446732,Academic year 2024-25,95
5447232,Academic year 2024-25,96
5447437,Academic year 2023-24,94
5502330,Academic year 2024-25,95
5502535,Academic year 2024-25,95
5502632,Academic year 2024-25,91
5509238,Academic year 2024-25,95
5509432,Academic year 2024-25,95
5509939,Academic year 2023-24,98
5510031,Academic year 2024-25,95
5510236,Academic year 2024-25,98
5510430,Academic year 2024-25,94
5512131,Academic year 2023-24,96
5512530,Academic year 2024-25,96
5518334,Academic year 2020-21,97
5531438,Academic year 2024-25,98
5531632,Academic year 2024-25,96
5531934,Academic year 2024-25,91
5532132,Academic year 2024-25,98
5532434,Academic year 2024-25,95
5532531,Academic year 2023-24,91
5532639,Academic year 2022-23,97
5532736,Academic year 2024-25,95
5532930,Academic year 2024-25,92
5533031,Academic year 2024-25,96
5533139,Academic year 2023-24,97
5533236,Academic year 2024-25,97
5533430,Academic year 2024-25,94
5533538,Academic year 2024-25,97
5533732,Academic year 2024-25,98
5533937,Academic year 2021-22,93
5534038,Academic year 2023-24,95
5534232,Academic year 2019-20,96
5534534,Academic year 2024-25,94
5534631,Academic year 2024-25,97
5540739,Academic year 2024-25,98
5541638,Academic year 2023-24,97
5545838,Academic year 2024-25,94
5546036,Academic year 2024-25,95
5546230,Academic year 2024-25,96
5546532,Academic year 2024-25,96
5546834,Academic year 2024-25,95
5547938,Academic year 2024-25,95
5550831,Academic year 2024-25,97
5555736,Academic year 2023-24,96
5555930,Academic year 2024-25,95
5556031,Academic year 2023-24,96
5556139,Academic year 2024-25,96
5556236,Academic year 2023-24,94
5601932,Academic year 2024-25,97
5616530,Academic year 2024-25,98
5619734,Academic year 2024-25,95
5619831,Academic year 2024-25,96
5632536,Academic year 2022-23,96
5632730,Academic year 2020-21,96
5632838,Academic year 2018-19,95
5647339,Academic year 2024-25,95
5702534,Academic year 2018-19,94
5702631,Academic year 2022-23,94
5702836,Academic year 2024-25,95
5722330,Academic year 2023-24,94
5722438,Academic year 2024-25,100
5726034,Academic year 2024-25,95
5726131,Academic year 2024-25,94
5726239,Academic year 2023-24,97
5726336,Academic year 2024-25,92
5726530,Academic year 2024-25,95
5745438,Academic year 2024-25,96
5745632,Academic year 2024-25,97
5746132,Academic year 2024-25,94
5746434,Academic year 2023-24,97
5746531,Academic year 2021-22,97
5746639,Academic year 2024-25,94
5747031,Academic year 2024-25,96
5758734,Academic year 2021-22,95
5902932,Academic year 2023-24,95
5903130,Academic year 2023-24,95
5918030,Academic year 2021-22,95
5918138,Academic year 2022-23,95
5918332,Academic year 2024-25,#
5918731,Academic year 2023-24,97
5939038,Academic year 2024-25,94
5939232,Academic year 2024-25,95
5939534,Academic year 2017-18,90
5939631,Academic year 2024-25,87
5939739,Academic year 2023-24,94
5941032,Academic year 2024-25,96
5948339,Academic year 2024-25,94
5948533,Academic year 2022-23,100
5948630,Academic year 2024-25,97
5948738,Academic year 2022-23,100
6002730,Academic year 2015-16,90
6003036,Academic year 2024-25,#
6003230,Academic year 2024-25,#
6003834,Academic year 2024-25,#
6103030,Academic year 2024-25,#
6103138,Academic year 2024-25,#
6103634,Academic year 2017-18,95
6103731,Academic year 2024-25,#
6103839,Academic year 2024-25,#
6104134,Academic year 2024-25,#
6203132,Academic year 2023-24,100
6204139,Academic year 2024-25,100
6233139,Academic year 2024-25,95
6233430,Academic year 2024-25,100
8109931,Academic year 2015-16,95
8110034,Academic year 2021-22,93
8110131,Academic year 2024-25,91
8110239,Academic year 2024-25,96
8110336,Academic year 2024-25,93
8110530,Academic year 2019-20,100
8110638,Academic year 2023-24,98
8111030,Academic year 2024-25,97
8130434,Academic year 2024-25,92
8200831,Academic year 2018-19,96
8210039,Academic year 2024-25,96
8214638,Academic year 2024-25,95
8215030,Academic year 2024-25,97
8215138,Academic year 2024-25,94
8215634,Academic year 2024-25,95
8215839,Academic year 2024-25,97
8216134,Academic year 2016-17,90
8217831,Academic year 2024-25,93
8223831,Academic year 2024-25,89
8223939,Academic year 2016-17,90
8224234,Academic year 2024-25,89
8224439,Academic year 2017-18,93
8224633,Academic year 2023-24,96
8224730,Academic year 2024-25,97
8235538,Academic year 2022-23,94
8235732,Academic year 2024-25,95
8236232,Academic year 2018-19,94
8236534,Academic year 2018-19,94
8236739,Academic year 2023-24,100
8236836,Academic year 2022-23,96
8237832,Academic year 2024-25,96
8238030,Academic year 2024-25,96
8243131,Academic year 2019-20,92
8243239,Academic year 2019-20,91
8244138,Academic year 2018-19,89
8300135,Academic year 2024-25,94
8304130,Academic year 2024-25,96
8304238,Academic year 2024-25,91
8304734,Academic year 2023-24,97
8304831,Academic year 2024-25,94
8314136,Academic year 2024-25,90
8325634,Academic year 2018-19,98
8325731,Academic year 2024-25,98
8325936,Academic year 2020-21,97
8337632,Academic year 2023-24,96
8337934,Academic year 2024-25,96
8338132,Academic year 2024-25,97
8340030,Academic year 2021-22,100
8342032,Academic year 2018-19,96
8342334,Academic year 2023-24,93
8357331,Academic year 2024-25,97
