ref,name,la,sector,type,governance,language,pupils,fsm_eligible,aln_pupils
6602130,Ysgol Gynradd Amlwch,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),236,24,17.4
6602131,Ysgol Gynradd Beaumaris,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),35,50,
6602132,Ysgol Gynradd Bodedern,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),89,17.1,10.1
6602133,Ysgol Gymuned Bodffordd,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),68,,11.8
6602135,Ysgol Gymuned Bryngwran,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),47,25,19.1
6602136,Ysgol Gynradd Brynsiencyn,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),40,29,27.5
6602138,Ysgol Cemaes,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),59,36.4,11.9
6602140,Ysgol Esceifiog,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),123,19.6,17.9
6602142,Ysgol Gymuned y Ffridd,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),84,36.1,21.4
6602145,Ysgol Gymuned Moelfre,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),38,44.8,15.8
6602146,Ysgol Gynradd Llanbedrgoch,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),23,25,30.4
6602152,Ysgol Gynradd Llanfairpwll,Isle of Anglesey,Primary schools,Infants & Juniors,Foundation,Welsh medium school / provision (including transitional),339,4.3,6.5
6602153,Ysgol Gymuned Llanfechell,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),81,21.2,14.8
6602154,Ysgol Y Graig,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),361,40.4,19.9
6602155,YSGOL GYNRADD LLANGOED,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),80,25.8,26.3
6602156,Ysgol Henblas,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),100,11.8,8
6602157,Ysgol Gymuned Llannerch-y-medd,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),119,26.1,18.5
6602160,Ysgol Pencarnisiog,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),61,10,9.8
6602161,Ysgol Gymuned Pentraeth,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),63,16,31.7
6602162,Ysgol Penysarn,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),57,20.8,19.3
6602163,Ysgol Santes Gwenfaen,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),110,10.5,8.2
